No.,220°C,270°C,310°C
1,638.3 ,592.2 ,547.0 
2,647.2 ,593.1 ,548.9 
3,650.1 ,595.2 ,550.1 
4,650.4 ,596.8 ,550.4 
5,653.3 ,598.9 ,553.0 
6,653.4 ,599.0 ,555.4 
7,654.3 ,599.3 ,555.7 
8,655.2 ,601.1 ,555.8 
9,655.7 ,601.4 ,556.2 
10,656.4 ,602.1 ,556.2 
11,656.5 ,603.2 ,556.4 
12,658.3 ,604.4 ,557.2 
13,658.7 ,604.5 ,558.4 
14,658.8 ,605.0 ,558.4 
15,661.0 ,606.0 ,558.6 
16,661.7 ,606.5 ,558.7 
17,663.8 ,607.8 ,558.9 
18,664.5 ,607.8 ,559.3 
19,664.5 ,608.1 ,559.3 
20,664.9 ,608.8 ,561.7 
21,666.4 ,,562.1 
