No.,275 MPa,265 MPa,245 MPa,226 MPa,206 MPa,186 MPa,177 MPa,167 MPa,157 MPa,
1,"27,200 ","31,700 ","51,100 ","78,400 ","131,800 ","213,100 ","282,100 ","477,000 ","481,100 ",
2,"27,600 ","32,400 ","53,200 ","79,200 ","133,900 ","218,900 ","284,200 ","517,600 ","628,100 ",
3,"28,900 ","33,200 ","53,500 ","79,800 ","136,700 ","222,500 ","291,400 ","562,600 ","1,355,700 ",
4,"29,300 ","33,700 ","54,200 ","82,300 ","137,100 ","234,000 ","311,700 ","587,800 ","1,428,000 ",
5,"29,900 ","35,500 ","55,000 ","85,800 ","139,300 ","241,500 ","345,900 ","658,900 ","2,407,100 ",
6,"30,100 ","35,700 ","57,000 ","86,000 ","140,100 ","246,800 ","317,600 ","710,700 ","2,489,300 ",
7,"30,600 ","35,900 ","57,000 ","86,600 ","140,400 ","248,600 ","331,300 ","763,200 ","3,963,400 ",
8,"30,700 ","36,000 ","57,200 ","88,100 ","145,700 ","251,200 ","335,300 ","785,000 ","3,969,900 ",
9,"30,800 ","36,500 ","57,700 ","88,500 ","145,900 ","251,300 ","391,600 ","875,200 ","4,301,900 ",
10,"30,900 ","36,800 ","58,400 ","88,700 ","146,000 ","252,700 ","405,900 ","984,900 ","5,896,300 ",
11,"30,900 ","37,000 ","58,500 ","89,300 ","146,900 ","255,600 ","411,500 ","1,039,500 ","6,092,200 ",
12,"31,000 ","37,000 ","59,200 ","90,300 ","148,600 ","261,600 ","418,800 ","1,166,800 ","6,684,500 ",
13,"31,200 ","37,200 ","59,300 ","90,800 ","148,600 ","261,600 ","445,000 ","1,283,600 ","8,618,400 ",
14,"31,200 ","37,500 ","59,800 ","92,200 ","148,800 ","262,400 ","447,700 ","1,359,800 ","8,961,900 ",
15,"31,700 ","37,500 ","59,800 ","92,500 ","149,400 ","262,900 ","455,100 ","1,614,900 ","9,695,300 ",
16,"31,800 ","37,600 ","60,900 ","93,200 ","152,500 ","265,300 ","457,800 ","1,699,600 ","9,716,800 ",
17,"31,900 ","37,600 ","61,400 ","93,400 ","153,600 ","265,700 ","457,900 ","1,704,300 ","10,296,100 ",
18,"32,100 ","37,900 ","61,400 ","93,700 ","154,200 ","268,700 ","472,200 ","1,851,200 ","12,000,000 ",*
19,"32,400 ","38,200 ","61,600 ","94,100 ","155,000 ","274,000 ","501,100 ","2,087,100 ","12,000,000 ",*
20,"32,400 ","38,600 ","62,500 ","95,300 ","155,800 ","280,500 ","533,600 ","2,177,800 ","12,000,000 ",*
21,"34,900 ","39,400 ","62,900 ","95,500 ","156,200 ","282,100 ","587,200 ","2,305,800 ","12,000,000 ",*
22,,"39,600 ","63,000 ","95,600 ","156,700 ","284,800 ","594,800 ","2,469,600 ",,
23,,"40,300 ","63,100 ","96,300 ","157,100 ","287,900 ","647,900 ","2,628,900 ",,
24,,"40,500 ","63,300 ","96,600 ","159,200 ","289,300 ","670,900 ","2,746,800 ",,
25,,"40,700 ","63,400 ","96,700 ","160,900 ","306,200 ","708,900 ","3,386,300 ",,
26,,"40,800 ","63,600 ","99,200 ","161,000 ","310,100 ","739,600 ","3,399,800 ",,
27,,"40,900 ","63,900 ","99,500 ","163,900 ","323,600 ","880,600 ","3,555,900 ",,
28,,"41,000 ","66,700 ","107,500 ","164,300 ","326,200 ","927,800 ","4,336,400 ",,
29,,"41,300 ","67,700 ","107,700 ","138,400 ","340,200 ","933,500 ","4,915,400 ",,
30,,"42,700 ","70,000 ","110,600 ","183,200 ","343,200 ","1,564,700 ","5,291,200 ",,
